Issue,Keywords
speed related,"slow, fast, lag, laggy, quick, speed, smooth"
crash related,"crash, frozen, abort, abandon, freeze, dead, died"
UI,"pretty, beautical, ugly, elegant, good looking, good-looking, nice, pleasant, awful, great, UI, user interface, design"
Update,"update, release, updated, new version"
Compatibility,compatible
Bug,"work, working, run, delete, save, find, open, close, turnon, turnoff, access, remove, clear, hide, add, edit, change, view, see, erase, move, enable, disable, login, log in, logon, log on, search, exit, leave, bookmark, mark, scan, pin, load, reload, show, restore, understand, seem, share, sign in, signin, signout, sign out, reset, set"
